City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
472,Hofn,IS,35.67,few clouds,64.2539,-15.2082,Hótel Höfn
474,Skogn,NO,40.39,overcast clouds,63.7,11.2,Festhus
483,Chaoyang,CN,39.74,overcast clouds,41.5703,120.4586,Chaoyang Genting International Hotel
487,Ucluelet,CA,39.09,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
491,San Jeronimo,PE,45.45,overcast clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
492,Coalville,GB,49.26,overcast clouds,52.7167,-1.3667,Hermitage Park Hotel
494,Fanai,IR,42.96,overcast clouds,38.517,44.9745,مسکن مهر 3
496,Assens,DK,52.12,overcast clouds,55.2702,9.9008,Overnatning Assens
500,Mizdah,LY,55.15,overcast clouds,31.4451,12.9801,محمدالمبروك الاريقط
501,Margate,GB,51.51,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
507,Concepcion,CL,55.2,overcast clouds,-36.827,-73.0498,Hotel El Araucano
513,Pushkinskiye Gory,RU,41.7,overcast clouds,57.0209,28.9103,"The recreation center ""Pushkinogorye"""
514,Gilgit,PK,46.63,clear sky,35.9221,74.3087,Tourist Hamlet Gilgit
518,Yoichi,JP,45.23,broken clouds,43.2039,140.7703,Marumatta Farm 21
530,Asau,RO,45.52,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
532,Lake Cowichan,CA,46.18,overcast clouds,48.825,-124.0546,Boutique Waterfront Lodge
534,Winona,US,35.62,clear sky,43.9666,-91.7668,
536,Ayacucho,PE,55.62,overcast clouds,-13.1583,-74.2239,Hotel Incasol
541,Shache,CN,38.19,clear sky,38.4167,77.2406,Delong Hotel
542,Nalut,LY,59.4,overcast clouds,30.3333,10.85,
545,Nyzhni Sirohozy,UA,41.0,overcast clouds,46.8484,34.3804,"КАФЕ & ГОСТИНИЦА ""Акуна Матата"""
547,Oksbol,DK,52.09,overcast clouds,55.6268,8.2876,Billum Kro
550,Tormac,RO,45.73,overcast clouds,45.5208,21.4936,Pensiunea Agroturistica Casa Verde
551,Balkanabat,TM,46.02,scattered clouds,39.5108,54.3671,Nebitchi Hotel
554,Merke,KZ,40.66,clear sky,42.8728,73.1786,Gostinitsa Merki
557,Aurora,US,52.52,broken clouds,39.7294,-104.8319,Best Western Plus Gateway Inn & Suites
561,San Francisco,US,59.07,overcast clouds,37.7749,-122.4194,The Clift Royal Sonesta Hotel
563,Zevenaar,NL,51.1,overcast clouds,51.9167,6.0667,B & B De Lorijn
565,Abha,SA,55.22,clear sky,18.2164,42.5053,Abha Hotel
567,Ukiah,US,54.01,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
573,Falciu,RO,46.6,overcast clouds,46.2961,28.1408,Cornelius city
575,Port Hardy,CA,44.6,light rain,50.6996,-127.4199,Airport Inn
576,Preobrazheniye,RU,38.61,scattered clouds,42.9019,133.9064,Campsite Orlan
577,Saeby,DK,47.97,overcast clouds,57.3319,10.5225,Hotel Viking Aqua Spa & Wellness Resort
579,Goderich,CA,37.9,overcast clouds,43.7501,-81.7165,Harmony Inn
580,Sakakah,SA,56.77,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
581,Sorland,NO,43.9,light rain,67.667,12.6934,Sjybrygga fiskecamp
582,Slavkov U Brna,CZ,48.76,few clouds,49.1533,16.8765,HOTEL NAPOLEON
584,San Ramon,US,57.85,mist,37.7799,-121.978,San Ramon Marriott
591,Ceres,US,59.68,mist,37.5949,-120.9577,Howard Johnson by Wyndham Modesto Ceres
600,Nemuro,JP,41.43,clear sky,43.3236,145.575,Hotel Nemuro Kaiyoutei
601,Ozark,US,45.7,overcast clouds,37.0209,-93.206,Americas Best Value Inn Ozark Springfield
610,Portales,US,50.99,broken clouds,34.1862,-103.3344,"Holiday Inn Express & Suites Portales, an IHG Hotel"
613,Zhangjiakou,CN,38.79,overcast clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
617,Northam,GB,51.03,overcast clouds,51.0333,-4.2167,Durrant House Hotel
620,Starychi,UA,46.89,overcast clouds,49.98,23.5585,Motelʹ Kurortnyy
624,Vestmanna,FO,40.12,overcast clouds,62.1564,-7.1664,Vestmanna Camping
625,Statesboro,US,47.73,clear sky,32.4488,-81.7832,"Holiday Inn Statesboro-University Area, an IHG Hotel"
627,Rocha,UY,55.78,clear sky,-34.4833,-54.3333,Hotel Arrarte
629,Pierre,US,44.28,overcast clouds,44.3683,-100.351,Ramkota Hotel
635,Bestwig,DE,48.16,overcast clouds,51.3667,8.4,Landhotel am Schloss
636,Uncia,BO,47.14,broken clouds,-18.467,-66.5685,Cerro Espíritu Santo
638,Piombino,IT,57.02,clear sky,42.9348,10.5221,Hotel Ariston
644,Taicheng,CN,40.28,overcast clouds,38.731,113.228,五台山康旅酒店
645,Piney Green,US,45.93,clear sky,34.716,-77.3202,Holiday City Mobile Home Community
