City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
223,Katsuura,JP,35.1333,140.3,64.51,69,56,17.56,broken clouds
224,Wanaka,NZ,-44.7,169.15,52.57,85,100,5.53,moderate rain
225,Nanakuli,US,21.3906,-158.1547,82.35,65,90,5.75,overcast clouds
226,Mahon,ES,39.8885,4.2658,55.96,94,40,6.91,scattered clouds
227,Guane,CU,22.2025,-84.0875,72.41,93,99,5.55,overcast clouds
228,Lagoa,PT,39.05,-27.9833,64.76,75,85,23.47,overcast clouds
229,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.17,96,100,4.34,light rain
230,Oksfjord,NO,70.2396,22.3479,34.72,98,100,15.17,light snow
231,Meulaboh,ID,4.1363,96.1285,84.87,68,83,2.08,broken clouds
232,Cherskiy,RU,68.75,161.3,-15.54,95,5,4.47,clear sky
233,Male,MV,4.1748,73.5089,85.95,70,75,16.11,broken clouds
234,Deer Lake,CA,49.1667,-57.4316,39.06,93,90,6.91,overcast clouds
235,Caxito,AO,-8.5785,13.6643,79.45,91,81,0.98,broken clouds
236,Jibuti,DJ,11.5,42.5,72.82,52,15,10.04,few clouds
237,Cedar City,US,37.6775,-113.0619,43.77,36,75,3.44,broken clouds
238,Tecoanapa,MX,16.5167,-98.75,77.02,83,7,4.59,clear sky
239,Aklavik,CA,68.2191,-135.0107,2.23,83,100,12.93,overcast clouds
240,Coruripe,BR,-10.1256,-36.1756,76.46,81,18,10.2,few clouds
241,Athabasca,CA,54.7169,-113.2854,22.82,95,97,4.74,overcast clouds
242,Tianpeng,CN,30.9866,103.9393,54.07,65,93,4.34,overcast clouds
243,Westport,US,41.1415,-73.3579,41.83,68,1,1.99,clear sky
244,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.27,99,85,1.07,overcast clouds
245,Lucea,JM,18.451,-78.1736,78.66,71,92,8.34,overcast clouds
246,Kudahuvadhoo,MV,2.6708,72.8944,82.8,73,83,17.67,broken clouds
247,Zyryanka,RU,65.75,150.85,-4.65,98,100,5.48,light snow
248,Pimentel,PE,-6.8367,-79.9342,63.16,89,91,12.44,overcast clouds
249,Moron,AR,-34.6534,-58.6198,68.97,85,1,4.0,clear sky
250,Iralaya,HN,15.0,-83.2333,79.0,83,100,10.92,overcast clouds
251,Richards Bay,ZA,-28.783,32.0377,63.52,83,100,4.0,overcast clouds
252,Kaeo,NZ,-35.1,173.7833,70.32,78,99,7.0,overcast clouds
253,Ponta Do Sol,PT,32.6667,-17.1,63.72,67,6,3.74,clear sky
254,Kahului,US,20.8947,-156.47,78.82,77,1,9.22,clear sky
255,Itaituba,BR,-4.2761,-55.9836,75.25,96,88,2.57,overcast clouds
256,Axim,GH,4.8699,-2.2405,78.15,89,82,4.54,broken clouds
257,Russell,US,32.3502,-85.1999,47.43,44,4,6.6,clear sky
258,Luderitz,NA,-26.6481,15.1594,58.89,76,5,14.99,clear sky
259,Fort Nelson,CA,58.8053,-122.7002,-4.41,77,20,2.3,few clouds
260,Kautokeino,NO,69.0125,23.0412,30.6,95,100,14.29,light snow
261,Ayia Paraskevi,GR,40.4833,23.05,51.06,67,20,3.0,few clouds
262,Labuhan,ID,-6.8844,112.2051,78.13,85,100,3.78,moderate rain
263,Lugazi,UG,0.3772,32.9197,65.88,86,95,1.39,overcast clouds
264,Karasburg,NA,-28.0167,18.75,64.13,25,33,6.64,scattered clouds
265,Baiyin,CN,36.5583,104.2081,38.28,26,40,22.88,scattered clouds
266,Rafai,CF,4.95,23.9167,70.41,89,39,0.6,scattered clouds
267,Atchison,US,39.563,-95.1216,48.79,48,100,14.32,overcast clouds
268,Paraiso,CR,9.8383,-83.8656,64.42,97,93,2.89,overcast clouds
269,Korsakov,RU,46.6328,142.7813,31.84,68,10,18.9,clear sky
270,Ugoofaaru,MV,5.6667,73.0,82.17,71,88,19.89,overcast clouds
271,Saraland,US,30.8207,-88.0706,53.62,69,0,5.26,clear sky
272,Thongwa,MM,16.7619,96.5278,87.96,61,49,6.64,scattered clouds
273,Egvekinot,RU,66.3167,-179.1667,1.06,70,47,6.15,scattered clouds
274,Gazli,UZ,40.1333,63.45,40.48,40,0,6.11,clear sky
275,Vestmannaeyjar,IS,63.4427,-20.2734,41.31,83,78,19.19,broken clouds
276,Port-Cartier,CA,50.0334,-66.8654,28.74,68,81,15.59,broken clouds
277,Graaff-Reinet,ZA,-32.2522,24.5308,54.91,75,92,3.53,overcast clouds
278,Chitipa,MW,-9.7024,33.2697,75.69,50,14,5.7,few clouds
279,Ust-Tsilma,RU,65.441,52.1498,25.72,91,96,7.47,overcast clouds
280,Nanfeng,CN,23.7434,111.7959,75.27,69,91,1.41,overcast clouds
281,Upernavik,GL,72.7868,-56.1549,6.96,61,63,9.26,broken clouds
282,Comodoro Rivadavia,AR,-45.8667,-67.5,66.06,34,0,21.85,clear sky
283,Kankan,GN,10.3854,-9.3057,70.95,43,29,2.53,scattered clouds
284,Agadez,NE,19.75,10.25,72.01,23,98,5.77,overcast clouds
285,Souillac,MU,-20.5167,57.5167,80.37,69,40,12.66,scattered clouds
286,Honiara,SB,-9.4333,159.95,83.75,73,91,1.92,overcast clouds
287,Mahina,PF,-17.5065,-149.489,82.17,74,75,9.22,broken clouds
288,Kurumkan,RU,54.3,110.3,13.71,78,100,2.57,overcast clouds
289,Camacha,PT,33.0833,-16.3333,60.22,72,20,6.91,few clouds
290,Janakkala,FI,60.9,24.6,38.43,80,70,13.2,broken clouds
291,Gunjur,GM,13.2019,-16.7339,75.27,83,0,4.61,clear sky
292,Peto,MX,20.1333,-88.9167,71.06,100,100,2.04,overcast clouds
293,Porto Velho,BR,-8.7619,-63.9039,75.25,94,20,1.14,few clouds
294,Mecca,SA,21.4267,39.8261,73.65,60,18,3.94,few clouds
295,Ayan,RU,56.45,138.1667,14.94,67,100,15.3,overcast clouds
296,Thunder Bay,CA,48.4001,-89.3168,37.56,61,75,11.5,broken clouds
297,Birao,CF,10.2849,22.7882,70.34,30,9,6.29,clear sky
298,Salym,RU,60.0625,71.4789,20.61,91,100,10.69,overcast clouds
299,Carauari,BR,-4.8828,-66.8958,71.67,97,100,1.88,overcast clouds
300,Ancud,CL,-41.8697,-73.8203,47.73,93,8,1.01,clear sky
301,Isangel,VU,-19.55,169.2667,80.71,78,75,5.75,broken clouds
302,Saint-Ambroise,CA,48.5501,-71.3324,30.74,78,82,11.14,broken clouds
303,Airai,TL,-8.9266,125.4092,73.83,70,97,1.28,overcast clouds
304,Cayenne,GF,4.9333,-52.3333,81.09,87,75,5.01,mist
305,Maidstone,GB,51.2667,0.5167,51.71,97,40,1.01,scattered clouds
306,Conde,BR,-7.2597,-34.9075,76.46,88,20,5.75,few clouds
307,Coahuayana,MX,18.7333,-103.6833,80.08,72,6,4.16,clear sky
308,Orodara,BF,10.9492,-4.9342,64.78,31,17,2.71,few clouds
309,Priyutnoye,RU,46.1011,43.5072,42.84,84,100,10.2,overcast clouds
310,Kavaratti,IN,10.5669,72.642,81.82,77,63,19.15,broken clouds
311,Nelson Bay,AU,-32.7167,152.15,69.1,89,100,1.99,light rain
312,Pevek,RU,69.7008,170.3133,-6.83,87,78,3.36,broken clouds
313,Meridian,US,43.6121,-116.3915,46.09,90,1,1.01,clear sky
314,Mareeba,AU,-17.0,145.4333,87.44,48,3,9.89,clear sky
315,Wobulenzi,UG,0.7283,32.5122,66.27,92,96,0.74,overcast clouds
316,Tanabe,JP,33.7333,135.3667,69.01,49,20,8.05,few clouds
317,Taoudenni,ML,22.6783,-3.9836,72.07,25,14,7.94,few clouds
318,Kasama,ZM,-10.2129,31.1808,72.5,59,56,2.3,broken clouds
319,Plaster Rock,CA,46.9065,-67.39,34.32,82,62,12.5,broken clouds
320,Lata,PT,40.1629,-8.3327,57.92,78,89,6.71,overcast clouds
321,Labytnangi,RU,66.6572,66.4183,5.43,96,100,7.96,light snow
322,Tinskoy,RU,56.1525,96.9161,10.9,69,94,10.11,overcast clouds
323,Barcelos,PT,41.5388,-8.6151,59.14,68,88,6.08,overcast clouds
324,Taksimo,RU,56.3444,114.8794,11.26,77,100,1.1,overcast clouds
325,Dandong,CN,40.1292,124.3947,46.92,33,88,3.6,overcast clouds
326,Wenling,CN,28.3669,121.36,72.91,72,99,8.55,overcast clouds
327,Punta Umbria,ES,37.1821,-6.9661,57.24,65,100,16.46,overcast clouds
328,Huejucar,MX,22.35,-103.2167,53.56,76,52,8.77,broken clouds
329,Yar-Sale,RU,66.8333,70.8333,0.93,96,100,22.73,light snow
330,Borovoy,RU,55.4333,86.0833,7.88,85,90,11.18,snow
331,Bella Union,UY,-30.2752,-57.6007,61.29,63,0,7.52,clear sky
332,Partyzany,UA,46.3314,34.7503,44.55,87,93,12.8,overcast clouds
333,Vila Do Maio,CV,15.1333,-23.2167,75.99,80,100,9.37,overcast clouds
334,Kruisfontein,ZA,-34.0033,24.7314,59.23,69,99,1.59,overcast clouds
335,Magadan,RU,59.5667,150.8,18.45,77,24,10.0,few clouds
336,Sobolevo,RU,54.4299,31.8996,44.22,80,99,21.81,overcast clouds
337,Ambilobe,MG,-13.2,49.05,83.91,54,27,3.65,scattered clouds
338,Okato,NZ,-39.2,173.8833,66.42,51,34,5.75,scattered clouds
339,El Seibo,DO,18.7641,-69.0375,71.85,92,95,4.07,overcast clouds
340,Port Lincoln,AU,-34.7333,135.8667,61.09,57,18,15.64,few clouds
341,Yulara,AU,-25.2406,130.9889,93.04,22,86,8.05,overcast clouds
342,Puerto Escondido,MX,15.85,-97.0667,78.13,70,58,4.97,broken clouds
343,Dublin,US,37.7021,-121.9358,58.28,93,90,5.01,mist
344,Lavrentiya,RU,65.5833,-171.0,4.86,69,26,6.06,scattered clouds
345,Qaqortoq,GL,60.7167,-46.0333,36.1,93,100,20.47,moderate rain
346,Aripuana,BR,-9.1667,-60.6333,70.3,100,100,0.81,overcast clouds
347,Newport,GB,51.5877,-2.9984,50.86,89,85,7.16,overcast clouds
