City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Hermanus,ZA,2021-11-16 02:05:37,-34.4187,19.2345,63.9,86,100,6.22
107,Bor,RU,2021-11-16 02:05:37,56.3567,44.0669,26.53,92,96,10.92
108,Tazovskiy,RU,2021-11-16 02:05:38,67.4667,78.7,4.71,94,100,12.88
109,Araouane,ML,2021-11-16 02:05:38,18.9048,-3.5265,73.0,30,34,10.02
110,Isangel,VU,2021-11-16 02:05:38,-19.55,169.2667,83.41,60,3,9.28
111,Minsk,BY,2021-11-16 02:05:16,53.9,27.5667,28.15,79,13,6.71
112,Kapoeta,SS,2021-11-16 02:05:39,4.7717,33.5903,80.31,45,8,14.32
113,Raudeberg,NO,2021-11-16 02:05:39,61.9875,5.1352,50.2,85,100,11.99
114,Port Hardy,CA,2021-11-16 02:01:21,50.6996,-127.4199,42.62,68,99,19.24
115,Oranjemund,NA,2021-11-16 02:05:40,-28.55,16.4333,58.89,95,6,5.37
116,East London,ZA,2021-11-16 02:05:40,-33.0153,27.9116,65.12,68,97,14.97
117,Port-Gentil,GA,2021-11-16 02:05:41,-0.7193,8.7815,79.12,84,94,12.08
118,Turukhansk,RU,2021-11-16 02:05:41,65.8167,87.9833,-10.41,98,99,6.67
119,Cayenne,GF,2021-11-16 02:05:41,4.9333,-52.3333,82.09,81,75,3.0
120,Bengkulu,ID,2021-11-16 02:04:44,-3.8004,102.2655,81.37,68,97,1.63
121,Saint Anthony,US,2021-11-16 02:05:42,45.0205,-93.218,32.31,77,1,1.01
122,Ayorou,NE,2021-11-16 02:05:42,14.7308,0.9174,79.92,18,98,9.28
123,Krutinka,RU,2021-11-16 02:05:42,56.0055,71.5113,12.36,88,100,13.29
124,Komsomolskiy,UZ,2021-11-16 02:05:43,40.4272,71.7189,34.52,80,11,6.91
125,Khudaganj,IN,2021-11-16 02:05:43,28.15,79.7167,62.46,52,0,1.59
126,Dikson,RU,2021-11-16 02:05:44,73.5069,80.5464,-12.75,98,69,4.74
127,Mwinilunga,ZM,2021-11-16 02:05:44,-11.7358,24.4293,60.8,95,99,0.74
128,Eenhana,NA,2021-11-16 02:05:44,-17.4667,16.3333,71.55,64,100,0.67
129,Khani,GE,2021-11-16 02:05:45,41.9563,42.9566,40.57,97,97,4.9
130,Salalah,OM,2021-11-16 02:05:45,17.0151,54.0924,77.09,33,0,4.61
131,Saint-Philippe,RE,2021-11-16 02:05:45,-21.3585,55.7679,74.75,82,66,3.47
